source_name,ALSAN RS 287 COLOR FINISH BASE
source_url,https://www.soprema.ca/en/products-systems/alsan-rs-287-color-finish-base

1 Product,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
ALSAN RS 287 COLOR FINISH BASE Product code: 30417,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 6.025 kg CO2 eq / KG Calcul SOPREMA 03457,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit Pail,Volume,Qty per packaging,Weight 8.5 kg (18.74 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Clear,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 60,Format
